Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal_Line,RSI
2020-04-13 00:00:00-04:00,12978.267796188868,13074.607935926919,12816.384695485116,13069.86888885498,41905300,0.0,0.0,,,,13069.86888885498,13069.86888885498,0.0,0.0,
2020-04-14 00:00:00-04:00,13345.46240698134,13720.556764574012,13266.495173803936,13716.60816192627,52874300,0.0,0.0,,,,13169.367238558256,13117.775501675076,51.59173688317969,10.31834737663594,
2020-04-15 00:00:00-04:00,13519.191929196482,13706.345116802559,13364.416805755347,13572.890281677246,40940800,0.0,0.0,,,,13231.447706730409,13151.487707601163,79.95999912924526,24.246677727157802,
2020-04-16 00:00:00-04:00,13763.99292469493,13999.315009556223,13653.438043626058,13980.362434387207,50479600,0.0,0.0,,,,13346.665357139147,13212.88583551124,133.77952162790643,46.15324650730753,
2020-04-17 00:00:00-04:00,14174.623558915926,14214.107189999258,13887.972011668606,14103.553504943848,52765600,0.0,0.0,,,,13463.109687570639,13278.861218432174,184.24846913846523,73.77229103353906,
2020-04-20 00:00:00-04:00,13947.981041602003,14115.391169470358,13818.474843545608,13824.001922607422,36669600,0.0,0.0,,,,13518.63156988399,13319.242011334045,199.38955854994492,98.89574453682025,
2020-04-21 00:00:00-04:00,13700.815899199255,13714.240185169978,13117.248054053616,13252.28256225586,56203700,0.0,0.0,,,,13477.654799479662,13314.28205214307,163.3727473365925,111.7911450967747,
2020-04-22 00:00:00-04:00,13534.195138497264,13740.299681923902,13489.184438524146,13702.39574432373,34620200,0.0,0.0,,,,13512.230329455673,13343.031214526822,169.1991149288515,123.27273906319006,
2020-04-23 00:00:00-04:00,13748.986983687337,13824.005624949394,13496.292042357212,13536.564903259277,32790800,0.0,0.0,,,,13515.974110040843,13357.367043321818,158.60706671902517,130.3396045943571,
2020-04-24 00:00:00-04:00,13587.10245623254,13784.520546564745,13480.497410419788,13783.731307983398,34277600,0.0,0.0,,,,13557.16752510893,13388.949581444896,168.21794366403265,137.91527240829222,
2020-04-27 00:00:00-04:00,13944.824998352287,13969.304650621123,13685.023301923848,13744.248733520508,33194400,0.0,0.0,,,,13585.949249479941,13415.268037154201,170.6812123257405,144.4684603917819,
2020-04-28 00:00:00-04:00,13865.856603976572,13872.174127415237,13376.259984451684,13409.426078796387,34392700,0.0,0.0,,,,13558.791838605548,13414.835299498067,143.95653910748115,144.36607613492174,
2020-04-29 00:00:00-04:00,13678.706258063912,14030.8994955513,13572.890439083903,14011.157684326172,51286600,0.0,0.0,,,,13628.386584101028,13459.007328003852,169.37925609717604,149.36871212737262,
2020-04-30 00:00:00-04:00,14214.103216878888,14245.689630938614,13916.396384340922,14151.719627380371,53875900,0.0,0.0,,,,13708.899359990159,13510.31935017989,198.58000981026817,159.21097166395174,63.02775224295461
2020-05-01 00:00:00-04:00,13882.441796866122,14106.708481619658,13741.089754719373,13785.312423706055,39370500,0.0,0.0,,,,13720.65521594645,13530.689207478124,189.96600846832553,165.3619790248265,57.91681211837211
2020-05-04 00:00:00-04:00,13778.994926019583,14135.136764919936,13724.507334525693,14122.50171661377,30372900,0.0,0.0,,,,13782.477754510654,13574.527171117803,207.9505833928506,173.87969989843134,54.821782243365774
2020-05-05 00:00:00-04:00,14263.06477291421,14502.335451794046,14206.208254671015,14274.120140075684,36839200,0.0,0.0,,,,13858.11504459758,13626.34887252209,231.76617207548952,185.456994333843,58.314600703928924
2020-05-06 00:00:00-04:00,14378.354053853596,14545.764203682382,14342.819039684478,14414.67830657959,32139300,0.0,0.0,,,,13943.740161825583,13684.74364541524,258.99651641034325,200.16489874914305,55.49774678590323
2020-05-07 00:00:00-04:00,14543.398768941002,14573.406710515817,14417.841126474794,14498.388061523438,28316000,0.0,0.0,,,,14029.070607932945,13745.013602163996,284.05700576894924,216.9433201531043,55.04843745623921
2020-05-08 00:00:00-04:00,14607.36179544778,14608.941477856906,14479.435234034772,14583.671379089355,30877800,0.0,0.0,13876.874193191528,,,14114.39380349547,13807.136400454763,307.2574030407068,235.00613673062483,60.22106634192113
2020-05-11 00:00:00-04:00,14462.850439947506,14807.147676349461,14439.161230402846,14746.343765258789,30892700,0.0,0.0,13960.697937011719,,,14211.616874535981,13876.707316366172,334.9095581698093,254.98682101846174,72.58836489263139
2020-05-12 00:00:00-04:00,14751.079252440693,14770.0306170512,14395.72670666161,14412.3091506958,32038200,0.0,0.0,13995.482986450195,,,14242.4926093298,13916.381526316514,326.1110830132857,269.21167341742654,61.12344116630663
2020-05-13 00:00:00-04:00,14415.471715223937,14533.922590114938,13940.877771996104,14194.363174438477,44711500,0.0,0.0,14026.556631088257,,,14235.08808088498,13936.972759510732,298.1153213742473,274.9924030087907,60.14124093130205
2020-05-14 00:00:00-04:00,14019.846179164553,14268.593759934813,13872.96703397807,14255.958709716797,41873900,0.0,0.0,14040.336444854736,,,14238.298946859106,13960.601348414886,277.6975984442197,275.53344209587647,57.72215666883775
2020-05-15 00:00:00-04:00,14139.875085746744,14771.61306311915,13977.20274936448,14463.64128112793,46610400,0.0,0.0,14058.34083366394,,,14272.96699828508,13997.86356565289,275.10343263218965,275.44744020313914,61.15056031044586
2020-05-18 00:00:00-04:00,14668.16373807358,14703.69875243939,14526.812919171569,14601.831550598145,35264500,0.0,0.0,14097.232315063477,,,14323.561544794782,14042.601934908093,280.9596098866896,276.54987413984924,69.6819775357103
2020-05-19 00:00:00-04:00,14611.307085532704,14735.286220224578,14489.698076389357,14500.753440856934,26799100,0.0,0.0,14159.65585899353,,,14350.821836496652,14076.539083496897,274.28275299975576,276.0964499118306,59.68143996742011
2020-05-20 00:00:00-04:00,14634.580415224023,14716.935747101314,14565.687965294219,14701.889991760254,31261300,0.51,0.0,14209.630571365356,,,14404.832321921822,14122.861372997886,281.9709489239358,277.27134971425164,60.62473258392003
2020-05-21 00:00:00-04:00,14681.302373375136,14781.87042813941,14514.217378831538,14525.303535461426,29119500,0.0,0.0,14259.067502975464,,,14423.366354774069,14152.671903550741,270.69445122332763,275.9559700160669,65.4210986651668
2020-05-22 00:00:00-04:00,14506.30131474436,14606.869382880193,14454.82891702574,14531.640586853027,20826900,0.0,0.0,14296.462966918945,,,14440.023928940062,14180.74365786943,259.280271070631,272.6208302269797,59.89008648234141
2020-05-26 00:00:00-04:00,14755.737500905618,14768.407738555446,14340.797488426804,14378.01555633545,36073600,0.0,0.0,14328.151308059692,,,14430.484179308583,14195.356391089135,235.12778821944812,265.1222218254734,52.50902290016928
2020-05-27 00:00:00-04:00,14269.527765616416,14411.273476299142,13984.454679130487,14397.019157409668,39517100,0.0,0.0,14377.530961990356,,,14425.335714401059,14210.294373779547,215.04134062151206,255.10604558468114,49.54694136979506
